FAST,4863,3.25949,BRISK,4.40379
FAST,4840,2.18491,BRISK,4.62191
FAST,4856,2.23965,BRISK,4.43247
FAST,4899,2.07719,BRISK,4.58902
FAST,4870,2.06384,BRISK,4.64274
FAST,4868,2.14148,BRISK,4.51887
FAST,4996,2.05908,BRISK,4.34499
FAST,4997,2.13931,BRISK,4.50789
FAST,5063,2.12742,BRIEF,2.77114
FAST,4952,2.06433,BRIEF,1.86633
FAST,4863,2.13716,BRIEF,1.6808
FAST,4840,2.0309,BRIEF,1.98844
FAST,4856,2.00976,BRIEF,1.65154
FAST,4899,2.10429,BRIEF,1.7362
FAST,4870,2.24835,BRIEF,1.70913
FAST,4868,2.19057,BRIEF,1.82
FAST,4996,2.11406,BRIEF,1.64386
FAST,4997,2.11131,BRIEF,1.69153
FAST,5063,2.19436,ORB,1.56923
FAST,4952,2.04237,ORB,1.62993
FAST,4863,2.47095,ORB,1.54799
FAST,4840,2.12348,ORB,1.58563
FAST,4856,2.28354,ORB,1.55315
FAST,4899,2.04136,ORB,1.69509
FAST,4870,2.12136,ORB,1.55223
FAST,4868,1.99642,ORB,1.95742
FAST,4996,2.26849,ORB,1.53632
FAST,4997,2.14881,ORB,1.51413
FAST,5063,2.31084,FREAK,44.8174
FAST,4952,2.08077,FREAK,44.7634
FAST,4863,2.0309,FREAK,44.3569
FAST,4840,2.53766,FREAK,47.0694
FAST,4856,2.49544,FREAK,48.5596
FAST,4899,2.48284,FREAK,46.1502
FAST,4870,2.52401,FREAK,46.0974
FAST,4868,2.52661,FREAK,46.3624
FAST,4996,2.54256,FREAK,44.6792
FAST,4997,2.44453,FREAK,44.9291
AKAZE,1351,71.3398,AKAZE,73.8599
AKAZE,1327,80.0903,AKAZE,57.0383
AKAZE,1311,71.9941,AKAZE,61.6056
AKAZE,1351,80.6349,AKAZE,64.5145
AKAZE,1360,82.0821,AKAZE,62.2215
AKAZE,1347,87.1018,AKAZE,64.5434
AKAZE,1363,81.7439,AKAZE,61.901
