Shi-Tomasi,1370,22.1043,BRISK,1.64857,,,
Shi-Tomasi,1301,16.9787,BRISK,2.30398,,M84,0.493294
Shi-Tomasi,1361,16.8803,BRISK,2.32315,,M80,0.430298
Shi-Tomasi,1358,16.1596,BRISK,2.20963,,M73,0.427386
Shi-Tomasi,1333,16.0081,BRISK,2.26681,,M77,0.507
Shi-Tomasi,1284,16.3755,BRISK,2.23042,,M74,0.624447
Shi-Tomasi,1322,16.0975,BRISK,2.29906,,M70,0.458264
Shi-Tomasi,1366,15.8283,BRISK,2.37739,,M79,0.583143
Shi-Tomasi,1389,16.2182,BRISK,2.13743,,M81,0.460589
Shi-Tomasi,1339,15.9788,BRISK,2.24943,,M72,0.422999
Shi-Tomasi,1370,15.7872,BRIEF,1.24992,,,
Shi-Tomasi,1301,15.981,BRIEF,1.23055,,M96,0.284449
Shi-Tomasi,1361,14.7278,BRIEF,1.17717,,M93,0.422996
Shi-Tomasi,1358,14.4633,BRIEF,1.22767,,M92,0.289728
Shi-Tomasi,1333,14.754,BRIEF,1.18274,,M89,0.371841
Shi-Tomasi,1284,14.4758,BRIEF,1.19882,,M92,0.330176
Shi-Tomasi,1322,14.6737,BRIEF,1.18666,,M93,0.288105
Shi-Tomasi,1366,14.5086,BRIEF,1.23547,,M85,0.301768
Shi-Tomasi,1389,15.2598,BRIEF,1.13876,,M91,0.305205
Shi-Tomasi,1339,14.4728,BRIEF,1.13934,,M85,0.275524
Shi-Tomasi,1370,14.2686,ORB,1.19795,,,
Shi-Tomasi,1301,15.5578,ORB,1.0938,,M86,0.303778
Shi-Tomasi,1361,15.0952,ORB,1.17484,,M84,0.326863
Shi-Tomasi,1358,15.1587,ORB,1.08983,,M87,0.351202
Shi-Tomasi,1333,15.0104,ORB,1.0661,,M91,0.299555
Shi-Tomasi,1284,15.1682,ORB,1.14932,,M87,0.2932
Shi-Tomasi,1322,15.0102,ORB,1.09791,,M76,0.284798
Shi-Tomasi,1366,15.3102,ORB,1.12197,,M81,0.344165
Shi-Tomasi,1389,14.9089,ORB,1.08218,,M88,0.355284
Shi-Tomasi,1339,15.1325,ORB,1.08271,,M88,0.322936
Shi-Tomasi,1370,14.8078,FREAK,43.1415,,,
Shi-Tomasi,1301,15.8117,FREAK,40.1369,,M66,0.402414
Shi-Tomasi,1361,11.3693,FREAK,39.496,,M66,0.43353
Shi-Tomasi,1358,11.1571,FREAK,39.345,,M64,0.442625
Shi-Tomasi,1333,11.2955,FREAK,39.6731,,M63,0.468549
Shi-Tomasi,1284,11.8724,FREAK,39.1353,,M62,0.345223
Shi-Tomasi,1322,11.3181,FREAK,39.465,,M64,0.409052
Shi-Tomasi,1366,11.6124,FREAK,39.461,,M61,0.442069
Shi-Tomasi,1389,11.7247,FREAK,39.9518,,M65,0.442738
Shi-Tomasi,1339,11.1687,FREAK,39.0736,,M63,0.410808
AKAZE,1351,78.049,AKAZE,65.4225,,,
AKAZE,1327,78.4593,AKAZE,63.1241,,M138,0.410065
